,index,State ID,Total_Cases,Total_Death,Year,Disease ID,No. of Doctors
45,87,117,36352,0,2004,1,14697.0
46,88,117,34044,2,2009,1,30879.0
47,89,117,71344,8,2010,1,3101.7645054734003
48,91,117,67720,1,2014,1,33277.0
49,93,117,41198,0,2007,1,3103.1604390942302
50,94,117,32093,0,2006,1,6821.0
51,95,117,37165,1,2003,1,3104.55700094801
52,96,117,53843,1,2012,1,58556.0
53,97,118,604076,0,2011,1,28631.0
54,98,118,1841945,16,2016,1,19322.0
55,99,118,1041042,40,2013,1,103073.0
56,100,118,8,35,1999,1,3105.9541913174703
57,101,118,909407,21,2004,1,3107.35201048548
58,102,118,521084,2,2009,1,3108.75045873502
59,103,118,603281,0,2010,1,3110.1495363492104
60,104,118,558071,18,2008,1,31450.0
61,105,118,1249351,6,2014,1,19980.0
62,106,118,1578815,27,2015,1,3111.5492436113
63,107,118,609501,20,2007,1,64993.0
64,108,118,833339,17,2006,1,3112.94958080464
65,109,118,833960,24,2003,1,3114.35054821274
66,110,118,832190,8,2012,1,42415.0
67,111,119,1275035,48,2011,1,50208.0
68,112,119,1162451,35,2016,1,3115.7521461192305
69,115,119,1052028,98,2004,1,3117.15437480786
70,125,120,1484149,154,2011,1,2859.0
71,128,120,49,121,1999,1,4231.0
72,129,120,1732435,191,2004,1,3118.5572345624896
73,130,120,1480308,165,2009,1,3119.96072566716
74,131,120,1364166,188,2010,1,3121.3648484059804
75,132,120,1548102,133,2008,1,3122.76960306323
76,135,120,1466036,203,2007,1,3124.17498992329
77,137,120,1675856,183,2003,1,3125.5810092707
78,138,120,1484315,136,2012,1,3126.98766139008
79,141,121,236452,0,2013,1,3128.39494656622
80,144,121,136825,0,2009,1,3129.80286508403
81,151,121,316404,0,2003,1,3131.21141722853
82,154,122,0,0,2004,1,2778.0
83,157,123,2072421,99,2016,1,3897.0
84,158,123,1577354,256,2013,1,3132.62060328489
85,159,123,2422846,917,2004,1,3134.03042353839
86,160,123,2160932,197,2009,1,3135.4408782744604
87,161,123,1593903,200,2010,1,3136.8519677786303
88,164,123,2128318,16,2015,1,3138.26369233659
89,166,123,2544300,196,2006,1,3139.67605223413
90,167,123,2098274,712,2003,1,3141.0890477571897
91,170,124,5600975,14,2016,1,3142.50267919182
92,172,124,295,863,1999,1,4035.0
93,182,124,425565,0,2012,1,3721.0
94,185,125,43944,0,2013,1,3882.0
95,186,125,25,97,1999,1,3143.91694682422
96,187,125,655957,289,2004,1,3145.3318509407
97,188,125,865777,263,2009,1,3146.74739182771
98,189,125,17263,0,2010,1,3148.1635697718298
99,193,125,912459,186,2007,1,2992.0
100,194,125,478278,180,2006,1,3149.58038505976
101,198,126,1959700,20,2016,1,3150.99783797833
102,200,126,57,175,1999,1,66109.0
103,202,126,1067692,175,2009,1,19147.0
104,203,126,796617,88,2010,1,37368.0
105,204,126,875808,620,2008,1,3152.4159288145
106,205,126,1116552,1,2014,1,3224.0
107,206,126,1568270,18,2015,1,6748.0
108,207,126,753229,245,2007,1,2828.0
109,208,126,657432,192,2006,1,47231.0
110,209,126,442563,104,2003,1,5356.0
111,211,127,25441,55,2011,1,3245.0
112,212,127,46272,21,2016,1,87734.0
113,213,127,31468,36,2013,1,40007.0
114,214,127,3,12,1999,1,26669.0
115,215,127,9796,1,2004,1,138303.0
116,216,127,20938,6,2009,1,3153.83465785537
117,217,127,19172,15,2010,1,3155.2540253881602
118,218,127,21705,6,2008,1,3156.6740317002195
119,219,127,33470,24,2014,1,3158.0946770790197
120,220,127,37477,22,2015,1,39291.0
121,221,127,22646,13,2007,1,28797.0
122,223,127,15359,0,2003,1,86822.0
123,224,127,39479,51,2012,1,3159.51596181218
124,225,128,295146,5,2011,1,58168.0
125,226,128,430119,2,2016,1,3394.0
126,228,128,2,18,1999,1,2748.0
127,238,128,310278,4,2012,1,3615.0
128,241,129,33807,23,2013,1,3988.0
129,242,129,4,5,1999,1,3160.9378861874297
130,243,129,35710,35,2004,1,3162.3604504926398
131,244,129,41078,16,2009,1,3163.7836550158195
132,245,129,25665,18,2010,1,3165.20750004508
133,249,129,36016,28,2007,1,2959.0
134,250,129,41018,26,2006,1,3166.6319858686797
135,254,130,29996,0,2016,1,3168.0571127750104
136,256,130,0,0,1999,1,3169.4828810525896
137,259,130,64220,0,2010,1,3170.9092909900605
138,260,130,25231,0,2008,1,3172.3363428761895
139,264,130,23131,0,2006,1,3173.7640369999
140,265,130,8798,0,2003,1,3175.19237365021
141,266,130,36344,7,2012,1,3176.6213531163003
142,268,131,900460,15,2016,1,3521.0
143,270,131,43,105,1999,1,3178.0509756874603
144,271,131,161165,29,2004,1,3179.48124165312
145,272,131,535351,29,2009,1,3180.9121513028304
146,273,131,628586,0,2010,1,3182.34370492627
147,274,131,526781,21,2008,1,3183.77590281328
148,275,131,772188,2,2014,1,3185.20874525379
149,276,131,895610,26,2015,1,3186.6422325378803
150,278,131,601038,69,2006,1,3188.07636495577
151,279,131,503312,180,2003,1,4552.0
152,280,131,703476,87,2012,1,3189.51114279778
153,281,132,1089640,62,2011,1,3190.9465663544
154,285,132,1118633,112,2004,1,5415.0
155,289,132,3038583,108,2014,1,3192.3826359162103
156,292,132,1299772,126,2006,1,3193.81935177396
157,293,132,1032822,81,2003,1,3195.2567142185
158,294,132,2001465,208,2012,1,3196.69472354083
159,298,133,2,5,1999,1,3198.13338003208
160,300,133,84808,13,2009,1,4938.0
161,301,133,106815,9,2010,1,3199.57268398349
162,302,133,72428,9,2008,1,3201.0126356864503
163,303,133,83893,7,2014,1,3202.4532354324797
164,304,133,104346,36,2015,1,3203.89448351323
165,307,133,44965,4,2003,1,3205.33638022049
166,308,133,111771,7,2012,1,5064.0
167,309,134,2410214,22,2011,1,3206.77892584615
168,313,134,3237394,1202,2004,1,3208.22212068226
169,316,134,2518487,4,2008,1,3209.665965021
170,317,134,1925888,14,2014,1,3211.11045915468
171,322,134,2737294,21,2012,1,3212.5556033757202
172,325,135,158988,131,2013,1,3214.0013979767
173,326,135,18,40,1999,1,3215.44784325031
174,328,135,247348,58,2009,1,3216.8949394894
175,329,135,177411,188,2010,1,3218.34268698692
176,330,135,242800,43,2008,1,3219.79108603597
177,331,135,152982,51,2014,1,3221.24013692977
178,332,135,1137894,123,2015,1,3222.6898399617
179,336,135,159949,131,2012,1,5088.0
180,337,136,170115,7,2016,1,3224.14019542523
181,338,136,167058,4,2015,1,3225.59120361399
182,342,137,0,103,1999,1,3593.0
183,352,137,1552436,226,2012,1,3310.0
184,355,138,185034,113,2013,1,4260.0
185,356,138,0,191,1999,1,3227.0428648217303
186,357,138,1545960,988,2004,1,3228.4951793423497
187,358,138,1806349,709,2009,1,3229.94814746987
188,359,138,132998,92,2010,1,3231.40176949844
189,364,138,2020983,894,2006,1,3232.8560457223302
190,368,139,3537353,635,2016,1,3234.31097643598
191,371,139,1980448,451,2010,1,3235.7665619339195
192,374,139,3193209,554,2015,1,3237.22280251085
193,378,140,31293,3,2004,1,3238.6796984615803
194,381,141,58307,0,2013,1,2679.0
195,384,141,47600,5,2004,1,3841.0
196,385,141,49781,4,2009,1,3240.13725008105
197,386,141,2740082,719,2008,1,3241.5954576643394
198,387,141,26080,1,2008,1,3243.05432150667
199,388,141,48254,4,2015,1,3244.5138419033897
200,391,141,32405,13,2006,1,3245.97401914997
201,393,111,202,0,2016,2,3247.43485354203
202,394,111,400,0,2017,2,3248.89634537531
